kick_result,kick_distance,game_seconds_remaining,total_home_score,total_away_score,home_team,away_team,posteam_score,defteam_score,score_differential
1,43,1807,17,14,NO,PIT,14,14,0
0,50,377,24,28,NO,PIT,24,28,-4
1,54,3098,7,3,SEA,KC,0,7,-7
0,36,2812,7,3,SEA,KC,7,3,4
1,28,1470,17,10,SEA,KC,14,10,4
1,29,632,24,20,SEA,KC,17,24,-7
1,32,83,38,31,SEA,KC,28,38,-10
1,43,1823,16,0,OAK,DEN,13,0,13
0,58,1804,16,0,OAK,DEN,0,16,-16
1,45,282,26,14,OAK,DEN,23,14,9
0,42,2581,14,0,BUF,MIA,14,0,14
1,29,991,28,16,BUF,MIA,13,28,-15
1,36,2309,10,0,TB,ATL,7,0,7
1,45,1303,20,14,TB,ATL,17,14,3
1,49,1024,20,17,TB,ATL,14,20,-6
1,37,4,32,34,TB,ATL,31,32,-1
0,34,2771,0,0,NYG,DAL,0,0,0
1,48,1445,10,14,NYG,DAL,7,14,-7
1,38,159,35,28,NYG,DAL,32,28,4
1,22,1803,0,23,NO,CAR,20,0,20
1,51,502,7,33,NO,CAR,30,7,23
1,40,2758,7,3,NE,NYJ,0,7,-7
1,38,584,30,3,NE,NYJ,27,3,24
1,25,3311,0,3,HOU,JAX,0,0,0
1,23,3023,3,3,HOU,JAX,0,3,-3
1,24,655,20,3,HOU,JAX,17,3,14
1,43,1092,0,24,GB,DET,21,0,21
1,33,2726,0,3,WAS,PHI,0,0,0
1,28,1815,3,6,DEN,LAC,0,6,-6
1,50,1869,21,3,KC,OAK,0,21,-21
1,45,1858,3,13,MIN,CHI,0,13,-13
1,42,269,10,24,MIN,CHI,21,10,11
1,38,3271,3,0,BAL,CLE,0,0,0
1,35,2175,20,7,BAL,CLE,17,7,10
0,46,1804,20,7,BAL,CLE,7,20,-13
